MemberID,PhoneNo,StreetNo,Street,City,State,Zip,ExpiryDate
1,(123) 123-4567,10,Bowery Estates,Montgomery,AL,36100,01/06/2008 23:18:06
3,(123) 123-4568,11,Dogwood Drive,Sacramento,CA,94203,01/08/2008 23:18:06
5,(123) 123-4569,12,Fir Street,Washington,DC,20510-0001,01/10/2008 23:18:06
7,(123) 123-4570,13,The Highlands,Atlanta,GA,30026,01/12/2008 23:18:06
9,(123) 123-4571,14,James Road,Springfield,IL,62700,1/14/2008 23:18:06
11,(123) 123-4572,15,Larch Mont Road,Boston,MA,02138-7190,1/16/2008 23:18:06
13,(123) 123-4573,16,New Pike Road,Trenton,NJ,8600,1/18/2008 23:18:06
15,(123) 123-4574,17,Pine Place,Albany,NY,12200-2837,1/20/2008 23:18:06
17,(123) 123-4575,18,Race Track Road,Harrisburg,PA,17100,1/22/2008 23:18:06
19,(123) 123-4576,19,Tamarack Road,Salt Lake City,UT,84100,1/24/2008 23:18:06
21,(123) 123-4577,20,Valley Road,Olympia,WA,98507,1/26/2008 23:18:06
23,(123) 123-4578,21,Apple Lane,Juneau,AK,99801,1/28/2008 23:18:06
25,(123) 123-4579,22,Cannery Row,Phoenix,AZ,85011,1/30/2008 23:18:06
27,(123) 123-4580,23,Elm Street,Denver,CO,80201,02/01/2008 23:18:06
29,(123) 123-4581,24,Goshen Road,Tallahassee,FL,32301,02/03/2008 23:18:06
31,(123) 123-4582,25,Island Drive,Honolulu,HI,96800-3017,02/05/2008 23:18:06
33,(123) 123-4583,26,King Street,Baton Rouge,LA,70800,02/07/2008 23:18:06
35,(123) 123-4584,27,Maple Street,Annapolis,MD,21400,02/09/2008 23:18:06
37,(123) 123-4585,28,Oak Drive,Carson City,NV,89701,02/11/2008 23:18:06
39,(123) 123-4586,29,Queen Ann Drive,Salem,OR,97301,2/13/2008 23:18:06
41,(123) 123-4587,30,Stoney Way,Austin,TX,73301,2/15/2008 23:18:06
43,(123) 123-4588,31,University Lane,Richmond,VA,23173-1823,2/17/2008 23:18:06
45,(123) 123-4589,32,Willow Road,Charleston,WV,25300,2/19/2008 23:18:06
47,(123) 123-4590,33,Bowery Estates,Montgomery,AL,36100,2/21/2008 23:18:06
49,(123) 123-4591,34,Dogwood Drive,Sacramento,CA,94203,2/23/2008 23:18:06
51,(123) 123-4592,35,Fir Street,Washington,DC,20510-0001,2/25/2008 23:18:06
53,(123) 123-4593,36,The Highlands,Atlanta,GA,30026,2/27/2008 23:18:06
55,(123) 123-4594,37,James Road,Springfield,IL,62700,2/29/2008 23:18:06
57,(123) 123-4595,38,Larch Mont Road,Boston,MA,02138-7190,03/02/2008 23:18:06
59,(123) 123-4596,39,New Pike Road,Trenton,NJ,8600,03/04/2008 23:18:06
61,(123) 123-4597,40,Pine Place,Albany,NY,12200-2837,03/06/2008 23:18:06
63,(123) 123-4598,41,Race Track Road,Harrisburg,PA,17100,03/08/2008 23:18:06
65,(123) 123-4599,42,Tamarack Road,Salt Lake City,UT,84100,03/10/2008 23:18:06
67,(123) 123-4600,43,Valley Road,Olympia,WA,98507,03/12/2008 23:18:06
69,(123) 123-4601,44,Apple Lane,Juneau,AK,99801,3/14/2008 23:18:06
71,(123) 123-4602,45,Cannery Row,Phoenix,AZ,85011,3/16/2008 23:18:06
73,(123) 123-4603,46,Elm Street,Denver,CO,80201,3/18/2008 23:18:06
75,(123) 123-4604,47,Goshen Road,Tallahassee,FL,32301,3/20/2008 23:18:06
77,(123) 123-4605,48,Island Drive,Honolulu,HI,96800-3017,3/22/2008 23:18:06
79,(123) 123-4606,49,King Street,Baton Rouge,LA,70800,3/24/2008 23:18:06
81,(123) 123-4607,50,Maple Street,Annapolis,MD,21400,3/26/2008 23:18:06
83,(123) 123-4608,51,Oak Drive,Carson City,NV,89701,3/28/2008 23:18:06
85,(123) 123-4609,52,Queen Ann Drive,Salem,OR,97301,3/30/2008 23:18:06
87,(123) 123-4610,53,Stoney Way,Austin,TX,73301,04/01/2008 23:18:06
89,(123) 123-4611,54,University Lane,Richmond,VA,23173-1823,04/03/2008 23:18:06
